,fps,duration,cudaTotal
avg_48,24.2468,41.2551,0
max_48,24.92,42.9634,0
min_48,23.2756,40.1284,0
2,24.1956,41.3299,0
3,24.15,41.4078,0
4,23.7268,42.1464,0
5,24.1752,41.3647,0
6,24.4732,40.861,0
7,23.8711,41.8917,0
8,24.4144,40.9595,0
9,24.7222,40.4495,0
10,24.7371,40.4252,0
11,23.9974,41.6713,0
12,23.9185,41.8086,0
13,24.0725,41.5411,0
14,24.4807,40.8485,0
15,23.6712,42.2454,0
16,23.4233,42.6925,0
17,24.1718,41.3706,0
18,24.6475,40.572,0
19,24.1626,41.3862,0
20,24.6603,40.551,0
21,24.4236,40.944,0
22,24.0419,41.5941,0
23,24.1516,41.4052,0
24,24.0466,41.5859,0
25,24.1177,41.4634,0
26,24.5311,40.7645,0
27,23.397,42.7406,0
28,23.8242,41.9741,0
29,23.5302,42.4987,0
30,24.7247,40.4453,0
31,24.7572,40.3923,0
32,23.6528,42.2783,0
33,24.5559,40.7234,0
34,24.3488,41.0698,0
35,24.92,40.1284,0
36,24.3785,41.0198,0
37,23.5406,42.4797,0
38,24.3336,41.0955,0
39,24.8202,40.2898,0
40,24.2847,41.1782,0
41,24.2595,41.2209,0
42,24.7696,40.3721,0
43,24.8991,40.1621,0
44,24.6864,40.5081,0
45,24.5294,40.7673,0
46,24.3783,41.02,0
47,23.2756,42.9634,0
48,24.3453,41.0757,0
49,24.653,40.563,0
