,fps,duration,cudaTotal
avg_18,55.5499,18.08,0
max_18,59.7668,20.3395,0
min_18,49.1653,16.7317,0
2,51.0105,19.6038,0
3,59.2906,16.8661,0
4,59.3673,16.8443,0
5,56.7486,17.6216,0
6,59.4815,16.812,0
7,58.4421,17.111,0
8,49.1653,20.3395,0
9,51.8681,19.2797,0
10,50.1948,19.9224,0
11,50.4018,19.8406,0
12,58.5277,17.0859,0
13,55.9685,17.8672,0
14,52.2066,19.1547,0
15,55.907,17.8868,0
16,59.7668,16.7317,0
17,56.1165,17.8201,0
18,58.0503,17.2264,0
19,57.385,17.4261,0
