,fps,duration,cudaTotal
avg_48,38.6093,26.14,0
max_48,43.2462,42.5454,0
min_48,23.5043,23.1234,0
2,38.0361,26.2908,0
3,41.1674,24.2911,0
4,41.6611,24.0032,0
5,38.4984,25.9751,0
6,38.5057,25.9702,0
7,40.7523,24.5385,0
8,39.2463,25.4801,0
9,40.0897,24.9441,0
10,38.2437,26.1481,0
11,40.3225,24.8,0
12,41.1352,24.3101,0
13,41.9664,23.8286,0
14,38.5528,25.9385,0
15,41.8867,23.8739,0
16,37.8947,26.3889,0
17,36.1929,27.6298,0
18,37.3936,26.7426,0
19,40.6908,24.5756,0
20,38.8524,25.7384,0
21,40.7509,24.5393,0
22,40.5007,24.6909,0
23,36.9982,27.0283,0
24,40.6357,24.6089,0
25,38.1277,26.2277,0
26,36.8251,27.1554,0
27,23.5043,42.5454,0
28,39.4984,25.3175,0
29,33.1913,30.1284,0
30,39.5885,25.2599,0
31,41.1086,24.3258,0
32,39.0514,25.6073,0
33,38.3628,26.0669,0
34,38.4641,25.9983,0
35,38.4677,25.9958,0
36,43.2462,23.1234,0
37,39.3759,25.3962,0
38,40.5545,24.6582,0
39,41.2288,24.2549,0
40,43.1951,23.1508,0
41,39.4921,25.3215,0
42,36.8612,27.1288,0
43,39.8513,25.0933,0
44,31.0115,32.2461,0
45,36.094,27.7054,0
46,38.5404,25.9468,0
47,37.5857,26.6058,0
48,34.3541,29.1086,0
49,35.692,28.0175,0
