,fps,duration,cudaTotal
avg_48,27.6669,36.2028,0
max_48,29.4535,40.7275,0
min_48,24.5534,33.9518,0
2,25.7625,38.816,0
3,27.9917,35.7249,0
4,29.2973,34.1328,0
5,27.706,36.0933,0
6,28.9934,34.4907,0
7,29.086,34.3809,0
8,26.0202,38.4316,0
9,28.7598,34.7708,0
10,28.1316,35.5472,0
11,27.6919,36.1117,0
12,26.9783,37.0668,0
13,29.4535,33.9518,0
14,26.4624,37.7894,0
15,29.3161,34.111,0
16,26.5302,37.6929,0
17,26.9226,37.1436,0
18,26.6338,37.5463,0
19,26.6369,37.5419,0
20,26.003,38.4572,0
21,26.8529,37.24,0
22,28.2221,35.4332,0
23,27.5548,36.2913,0
24,27.5089,36.3519,0
25,25.5165,39.1903,0
26,24.5534,40.7275,0
27,27.5766,36.2626,0
28,26.5956,37.6002,0
29,27.6245,36.1997,0
30,29.2798,34.1532,0
31,28.034,35.671,0
32,27.3082,36.619,0
33,28.8945,34.6086,0
34,28.5923,34.9745,0
35,27.6531,36.1624,0
36,27.8647,35.8877,0
37,28.4486,35.1511,0
38,28.5678,35.0044,0
39,28.1938,35.4688,0
40,29.0822,34.3853,0
41,27.0381,36.9849,0
42,27.052,36.9658,0
43,27.5537,36.2927,0
44,27.7197,36.0754,0
45,29.0451,34.4292,0
46,28.6943,34.8501,0
47,27.5823,36.2551,0
48,27.4621,36.4138,0
49,27.5606,36.2837,0
