,fps,duration,cudaTotal
avg_48,35.7056,28.0229,0
max_48,37.5535,29.2563,0
min_48,34.1806,26.6287,0
2,34.9925,28.5775,0
3,35.8008,27.9324,0
4,35.8125,27.9232,0
5,34.7527,28.7748,0
6,34.8299,28.711,0
7,36.8872,27.1097,0
8,35.8357,27.9052,0
9,34.6743,28.8398,0
10,35.4775,28.1869,0
11,35.3567,28.2832,0
12,35.8235,27.9147,0
13,35.5762,28.1086,0
14,36.7573,27.2054,0
15,35.8963,27.858,0
16,36.1177,27.6873,0
17,34.8268,28.7135,0
18,35.0704,28.514,0
19,37.346,26.7766,0
20,35.8641,27.8831,0
21,37.232,26.8586,0
22,37.2814,26.823,0
23,37.5535,26.6287,0
24,36.0655,27.7273,0
25,34.1806,29.2563,0
26,35.0852,28.5021,0
27,35.8478,27.8958,0
28,36.1075,27.6951,0
29,36.0533,27.7367,0
30,34.7677,28.7623,0
31,36.181,27.6388,0
32,34.2888,29.1641,0
33,36.2321,27.5999,0
34,35.9387,27.8252,0
35,35.9939,27.7825,0
36,35.0813,28.5052,0
37,35.7572,27.9664,0
38,34.5208,28.968,0
39,35.6233,28.0715,0
40,34.6986,28.8196,0
41,34.3867,29.0811,0
42,35.8344,27.9061,0
43,36.8708,27.1217,0
44,37.3856,26.7483,0
45,36.0218,27.761,0
46,34.9276,28.6306,0
47,36.0462,27.7422,0
48,34.9023,28.6514,0
49,35.3058,28.324,0
