,fps,duration,cudaTotal
avg_48,29.0425,34.4441,0
max_48,29.7898,36.3157,0
min_48,27.5363,33.5685,0
2,29.0264,34.4514,0
3,29.1588,34.2949,0
4,28.2421,35.4081,0
5,29.1686,34.2834,0
6,28.9887,34.4962,0
7,28.2679,35.3759,0
8,28.8485,34.6638,0
9,29.7445,33.6196,0
10,29.33,34.0947,0
11,29.4097,34.0024,0
12,29.7898,33.5685,0
13,27.9974,35.7177,0
14,29.1677,34.2845,0
15,29.2413,34.1982,0
16,29.4629,33.941,0
17,29.5633,33.8257,0
18,29.4297,33.9792,0
19,28.8034,34.7181,0
20,27.5363,36.3157,0
21,29.622,33.7587,0
22,29.667,33.7075,0
23,28.6952,34.849,0
24,29.1774,34.2731,0
25,29.213,34.2313,0
26,28.9568,34.5342,0
27,28.8202,34.6979,0
28,29.0152,34.4647,0
29,29.1415,34.3153,0
30,29.5324,33.8611,0
31,29.5979,33.7861,0
32,29.5127,33.8837,0
33,28.8962,34.6066,0
34,29.243,34.1962,0
35,29.2003,34.2462,0
36,28.4292,35.175,0
37,28.2801,35.3606,0
38,27.9619,35.7629,0
39,29.0554,34.417,0
40,28.9675,34.5215,0
41,28.5451,35.0322,0
42,29.2233,34.2192,0
43,27.8549,35.9004,0
44,29.6346,33.7444,0
45,29.0046,34.4773,0
46,29.6644,33.7104,0
47,29.6472,33.73,0
48,28.8805,34.6255,0
49,29.4228,33.9873,0
